latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,year
-32.86316,-56.53908,302.72,0.48,0.4,2024-01-02,505,N20,VIIRS,n,2,290.25,1.39,N,0,2024
-32.86035,-56.54107,302.99,0.39,0.36,2024-01-03,446,N20,VIIRS,n,2,290.13,0.97,N,0,2024
-32.10288,-57.94765,332.41,0.47,0.48,2024-01-03,1709,N20,VIIRS,n,2,296.15,3.76,D,0,2024
-34.73141,-56.01215,333.47,0.38,0.36,2024-01-07,1733,N20,VIIRS,n,2,299.74,1.85,D,0,2024
-34.73473,-56.01141,331.05,0.38,0.36,2024-01-07,1733,N20,VIIRS,n,2,296.18,1.85,D,0,2024
-32.86286,-56.53911,300.7,0.39,0.36,2024-01-08,452,N20,VIIRS,n,2,290.09,0.66,N,0,2024
-32.86041,-56.53981,308.99,0.46,0.39,2024-01-09,433,N20,VIIRS,n,2,295.0,1.88,N,0,2024
-34.80468,-55.93845,320.03,0.4,0.6,2024-01-11,356,N20,VIIRS,n,2,291.2,1.56,N,0,2024
-33.93201,-56.69954,342.97,0.38,0.43,2024-01-11,1759,N20,VIIRS,n,2,292.04,6.16,D,0,2024
-33.6061,-54.32475,333.13,0.46,0.39,2024-01-12,1740,N20,VIIRS,n,2,301.58,4.65,D,0,2024
-31.36338,-57.89888,332.89,0.39,0.36,2024-01-12,1741,N20,VIIRS,l,2,305.19,1.34,D,0,2024
-34.854,-56.26771,301.96,0.39,0.36,2024-01-14,440,N20,VIIRS,n,2,290.79,0.36,N,0,2024
-32.86024,-56.54006,305.84,0.43,0.46,2024-01-15,421,N20,VIIRS,n,2,295.22,1.79,N,0,2024
-34.38435,-55.47847,334.91,0.47,0.64,2024-01-15,1823,N20,VIIRS,n,2,301.82,3.29,D,0,2024
-32.86314,-56.5384,302.8,0.48,0.4,2024-01-18,505,N20,VIIRS,n,2,291.11,0.88,N,0,2024
-34.09315,-54.49127,301.64,0.42,0.45,2024-01-18,505,N20,VIIRS,n,2,289.49,0.45,N,0,2024
-32.86317,-56.53798,304.34,0.39,0.36,2024-01-19,446,N20,VIIRS,n,2,292.8,0.9,N,0,2024
-31.0744,-55.75702,333.19,0.53,0.42,2024-01-19,1709,N20,VIIRS,n,2,298.37,5.19,D,0,2024
-31.07208,-55.76024,310.64,0.53,0.42,2024-01-20,427,N20,VIIRS,n,2,289.31,0.95,N,0,2024
-31.06826,-55.75918,301.16,0.53,0.42,2024-01-20,427,N20,VIIRS,n,2,289.56,0.95,N,0,2024
-34.46007,-57.78705,336.21,0.46,0.64,2024-01-20,1649,N20,VIIRS,n,2,298.8,4.55,D,0,2024
-33.25099,-55.8918,334.5,0.35,0.57,2024-01-20,1650,N20,VIIRS,n,2,300.22,0.47,D,0,2024
-34.53342,-56.25254,332.57,0.57,0.52,2024-01-21,1811,N20,VIIRS,n,2,300.9,3.72,D,0,2024
-31.25966,-57.86945,342.3,0.47,0.4,2024-01-22,1753,N20,VIIRS,n,2,303.73,10.15,D,0,2024
-31.26058,-57.87439,340.62,0.47,0.4,2024-01-22,1753,N20,VIIRS,n,2,303.68,4.16,D,0,2024
-31.44107,-57.86813,336.56,0.47,0.4,2024-01-22,1753,N20,VIIRS,n,2,303.3,3.7,D,0,2024
-32.39393,-54.08606,331.07,0.46,0.47,2024-01-22,1753,N20,VIIRS,n,2,299.03,3.23,D,0,2024
-31.26422,-57.87348,344.33,0.47,0.4,2024-01-22,1753,N20,VIIRS,n,2,303.59,4.16,D,0,2024
-32.8604,-56.53876,301.19,0.38,0.43,2024-01-23,511,N20,VIIRS,n,2,290.22,1.63,N,0,2024
-34.8284,-55.25029,316.1,0.47,0.48,2024-01-23,512,N20,VIIRS,n,2,287.23,2.4,N,0,2024
-34.82994,-55.24908,337.98,0.39,0.36,2024-01-23,1733,N20,VIIRS,n,2,306.18,3.77,D,0,2024
-34.80285,-56.17171,302.09,0.42,0.38,2024-01-25,434,N20,VIIRS,n,2,289.48,0.52,N,0,2024
-33.7581,-54.53159,330.34,0.48,0.48,2024-01-25,1656,N20,VIIRS,l,2,300.95,4.86,D,0,2024
-34.80872,-56.24128,332.79,0.62,0.54,2024-01-25,1656,N20,VIIRS,l,2,302.81,2.76,D,0,2024
-34.80857,-56.23999,338.67,0.62,0.54,2024-01-25,1656,N20,VIIRS,n,2,302.84,4.41,D,0,2024
-34.7147,-56.19606,337.64,0.61,0.54,2024-01-25,1656,N20,VIIRS,n,2,304.44,4.3,D,0,2024
-34.06168,-57.71299,355.37,0.37,0.58,2024-01-25,1656,N20,VIIRS,n,2,301.66,0.41,D,0,2024
-33.76257,-54.53099,340.91,0.48,0.48,2024-01-25,1656,N20,VIIRS,n,2,300.93,15.22,D,0,2024
-31.06799,-55.75901,306.4,0.52,0.5,2024-01-26,414,N20,VIIRS,n,2,287.35,1.02,N,0,2024
-34.76727,-56.07477,355.15,0.56,0.69,2024-01-26,1637,N20,VIIRS,n,2,303.01,27.38,D,0,2024
-34.76828,-56.07298,337.17,0.35,0.57,2024-01-26,1817,N20,VIIRS,n,2,302.32,3.89,D,0,2024
-34.70635,-55.91255,338.41,0.36,0.57,2024-01-26,1817,N20,VIIRS,n,2,297.35,2.11,D,0,2024
-34.76936,-56.07444,332.04,0.35,0.57,2024-01-26,1817,N20,VIIRS,n,2,301.96,2.15,D,0,2024
-34.76839,-56.07053,336.96,0.35,0.57,2024-01-26,1817,N20,VIIRS,n,2,299.78,2.15,D,0,2024
-32.39312,-58.12816,334.95,0.62,0.54,2024-01-26,1818,N20,VIIRS,n,2,303.9,10.61,D,0,2024
-32.39294,-58.12918,340.29,0.62,0.54,2024-01-26,1818,N20,VIIRS,n,2,305.21,4.89,D,0,2024
-32.86194,-56.53885,301.95,0.47,0.48,2024-01-28,517,N20,VIIRS,n,2,290.56,1.07,N,0,2024
-34.80062,-55.25043,346.61,0.41,0.37,2024-01-28,1740,N20,VIIRS,n,2,298.95,7.22,D,0,2024
-34.86646,-56.24551,335.24,0.39,0.36,2024-01-28,1740,N20,VIIRS,n,2,301.04,1.05,D,0,2024
-34.42482,-57.41714,338.48,0.38,0.36,2024-01-28,1740,N20,VIIRS,n,2,304.72,2.67,D,0,2024
-32.8616,-56.54117,304.68,0.42,0.38,2024-01-29,459,N20,VIIRS,n,2,292.71,0.94,N,0,2024
-34.73071,-56.04344,334.38,0.44,0.38,2024-01-29,1721,N20,VIIRS,n,2,300.93,2.88,D,0,2024
-34.65147,-56.18351,334.63,0.44,0.38,2024-01-29,1721,N20,VIIRS,n,2,302.65,5.3,D,0,2024
-34.65086,-56.17867,335.06,0.44,0.38,2024-01-29,1721,N20,VIIRS,n,2,302.23,5.3,D,0,2024
-32.86131,-56.53907,306.19,0.41,0.37,2024-01-30,440,N20,VIIRS,n,2,293.64,1.22,N,0,2024
-33.09203,-54.53851,300.17,0.38,0.36,2024-01-30,440,N20,VIIRS,n,2,289.69,0.46,N,0,2024
-34.68512,-56.38009,341.0,0.51,0.49,2024-01-30,1702,N20,VIIRS,n,2,304.03,3.06,D,0,2024
-32.15545,-57.36689,331.53,0.54,0.51,2024-01-30,1703,N20,VIIRS,l,2,306.29,11.41,D,0,2024
-32.86023,-56.53851,303.73,0.43,0.46,2024-01-31,421,N20,VIIRS,n,2,290.72,1.28,N,0,2024
-34.42585,-57.40657,330.42,0.37,0.58,2024-01-31,1824,N20,VIIRS,n,2,299.82,1.66,D,0,2024
-34.81335,-56.00707,337.21,0.48,0.48,2024-02-01,1805,N20,VIIRS,n,2,305.71,4.14,D,0,2024
-34.85357,-56.10499,330.73,0.47,0.48,2024-02-01,1805,N20,VIIRS,l,2,303.89,1.66,D,0,2024
-30.45621,-57.64906,342.26,0.48,0.48,2024-02-01,1806,N20,VIIRS,n,2,306.74,5.35,D,0,2024
