latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,year
-32.86166,-56.53794,303.71,0.46,0.39,2024-01-01,434,N,VIIRS,n,2,288.98,1.07,N,0,2024
-31.33726,-57.90175,331.06,0.34,0.56,2024-01-02,1819,N,VIIRS,n,2,298.01,1.6,D,0,2024
-32.86356,-56.53794,305.27,0.42,0.38,2024-01-05,459,N,VIIRS,n,2,291.22,0.63,N,0,2024
-32.86263,-56.53951,310.15,0.41,0.37,2024-01-06,440,N,VIIRS,n,2,294.1,1.22,N,0,2024
-32.86325,-56.54095,304.15,0.57,0.52,2024-01-09,524,N,VIIRS,n,2,293.0,1.62,N,0,2024
-32.8608,-56.54052,302.85,0.57,0.52,2024-01-09,524,N,VIIRS,n,2,292.85,2.06,N,0,2024
-34.70912,-55.99456,343.52,0.44,0.38,2024-01-09,1746,N,VIIRS,n,2,307.47,5.24,D,0,2024
-34.60955,-55.73501,334.27,0.45,0.39,2024-01-09,1746,N,VIIRS,n,2,299.21,4.04,D,0,2024
-34.40864,-56.34725,335.09,0.43,0.38,2024-01-09,1746,N,VIIRS,n,2,307.42,3.34,D,0,2024
-34.40948,-56.35195,336.66,0.43,0.38,2024-01-09,1746,N,VIIRS,n,2,308.27,3.34,D,0,2024
-34.71265,-55.9936,335.36,0.44,0.38,2024-01-09,1746,N,VIIRS,n,2,304.99,5.24,D,0,2024
-32.8634,-56.54143,307.0,0.48,0.4,2024-01-10,505,N,VIIRS,n,2,293.07,1.45,N,0,2024
-33.92984,-56.69995,347.75,0.42,0.45,2024-01-11,1709,N,VIIRS,n,2,300.21,8.3,D,0,2024
-32.8618,-56.53839,302.34,0.53,0.42,2024-01-12,428,N,VIIRS,n,2,290.6,0.93,N,0,2024
-33.95319,-57.78267,367.0,0.44,0.63,2024-01-12,1830,N,VIIRS,h,2,307.67,10.0,D,0,2024
-31.27276,-56.60252,332.52,0.33,0.55,2024-01-13,1812,N,VIIRS,n,2,303.53,0.54,D,0,2024
-33.73428,-58.36654,331.61,0.43,0.38,2024-01-14,1753,N,VIIRS,l,2,306.09,2.92,D,0,2024
-34.74621,-56.01369,334.37,0.38,0.36,2024-01-15,1734,N,VIIRS,l,2,306.42,4.35,D,0,2024
-34.78123,-56.22897,333.73,0.4,0.37,2024-01-20,1740,N,VIIRS,l,2,304.15,1.25,D,0,2024
-34.45956,-57.78827,346.48,0.38,0.36,2024-01-20,1740,N,VIIRS,n,2,308.87,11.47,D,0,2024
-32.62428,-54.50152,341.13,0.46,0.39,2024-01-20,1741,N,VIIRS,n,2,299.95,7.37,D,0,2024
-31.07191,-55.75843,298.84,0.43,0.38,2024-01-21,458,N,VIIRS,n,2,288.34,0.39,N,0,2024
-32.86312,-56.53893,302.75,0.42,0.38,2024-01-21,459,N,VIIRS,n,2,291.29,1.03,N,0,2024
-34.53395,-56.2566,337.44,0.44,0.38,2024-01-21,1721,N,VIIRS,n,2,305.76,6.16,D,0,2024
-34.53186,-56.25404,337.97,0.44,0.38,2024-01-21,1721,N,VIIRS,n,2,305.17,4.99,D,0,2024
-32.86184,-56.53836,308.16,0.41,0.37,2024-01-22,440,N,VIIRS,n,2,292.02,1.36,N,0,2024
-32.39045,-54.0859,297.6,0.38,0.36,2024-01-22,440,N,VIIRS,n,2,287.33,0.55,N,0,2024
-34.88845,-56.16658,304.23,0.39,0.36,2024-01-22,441,N,VIIRS,n,2,288.04,0.6,N,0,2024
-32.86065,-56.54143,302.25,0.43,0.46,2024-01-23,421,N,VIIRS,n,2,290.64,0.84,N,0,2024
-32.47303,-55.38248,331.18,0.53,0.67,2024-01-23,1824,N,VIIRS,n,2,294.59,5.28,D,0,2024
-32.47496,-55.37842,328.11,0.53,0.67,2024-01-23,1824,N,VIIRS,n,2,294.04,5.1,D,0,2024
-32.64429,-56.30698,336.03,0.47,0.64,2024-01-23,1824,N,VIIRS,n,2,296.82,1.64,D,0,2024
-32.4337,-54.60788,339.59,0.32,0.55,2024-01-24,1806,N,VIIRS,n,2,296.93,2.03,D,0,2024
-30.52652,-56.6404,338.74,0.55,0.51,2024-01-24,1806,N,VIIRS,n,2,302.56,2.39,D,0,2024
-34.82038,-56.11622,343.36,0.44,0.38,2024-01-25,1746,N,VIIRS,n,2,307.97,4.73,D,0,2024
-31.80723,-54.73494,332.36,0.55,0.43,2024-01-25,1747,N,VIIRS,n,2,302.22,4.5,D,0,2024
-33.76247,-54.53265,341.3,0.52,0.42,2024-01-25,1747,N,VIIRS,n,2,302.47,7.3,D,0,2024
-33.75916,-54.53118,339.87,0.52,0.42,2024-01-25,1747,N,VIIRS,n,2,303.64,6.78,D,0,2024
-33.76297,-54.53012,339.33,0.52,0.42,2024-01-25,1747,N,VIIRS,n,2,300.34,6.78,D,0,2024
-31.06969,-55.75849,301.83,0.5,0.41,2024-01-26,505,N,VIIRS,n,2,286.98,0.94,N,0,2024
-34.76613,-56.07368,356.49,0.4,0.37,2024-01-26,1728,N,VIIRS,n,2,314.34,15.72,D,0,2024
-31.52373,-56.63511,338.87,0.39,0.36,2024-01-26,1728,N,VIIRS,n,2,302.51,3.2,D,0,2024
-34.76674,-56.07803,334.22,0.4,0.37,2024-01-26,1728,N,VIIRS,l,2,306.82,15.72,D,0,2024
-34.76952,-56.07299,356.03,0.4,0.37,2024-01-26,1728,N,VIIRS,n,2,314.47,15.72,D,0,2024
-34.76962,-56.07414,356.64,0.4,0.37,2024-01-26,1728,N,VIIRS,n,2,313.95,10.41,D,0,2024
-34.76901,-56.06979,336.08,0.4,0.37,2024-01-26,1728,N,VIIRS,n,2,304.52,6.55,D,0,2024
-34.87318,-56.15256,348.88,0.4,0.44,2024-01-27,1709,N,VIIRS,n,2,303.26,6.48,D,0,2024
-34.87201,-56.15472,346.24,0.4,0.44,2024-01-27,1709,N,VIIRS,n,2,303.15,7.45,D,0,2024
-33.98545,-58.2515,342.27,0.51,0.49,2024-01-27,1709,N,VIIRS,n,2,305.65,3.85,D,0,2024
-34.077,-56.23874,334.19,0.4,0.44,2024-01-27,1709,N,VIIRS,l,2,305.39,2.85,D,0,2024
-34.79666,-55.24556,333.33,0.57,0.69,2024-01-28,1830,N,VIIRS,n,2,288.48,4.63,D,0,2024
-34.79768,-55.24601,333.59,0.57,0.69,2024-01-28,1830,N,VIIRS,n,2,288.53,4.53,D,0,2024
-34.65162,-56.17985,333.45,0.58,0.52,2024-01-29,1811,N,VIIRS,n,2,296.65,2.58,D,0,2024
-31.33573,-55.16126,335.49,0.39,0.6,2024-01-29,1812,N,VIIRS,n,2,290.73,1.93,D,0,2024
-32.39473,-58.13433,337.28,0.45,0.39,2024-01-30,1753,N,VIIRS,n,2,305.76,4.87,D,0,2024
-34.67557,-56.21949,338.76,0.5,0.41,2024-01-30,1753,N,VIIRS,n,2,308.6,5.98,D,0,2024
-34.67675,-56.22165,337.7,0.5,0.41,2024-01-30,1753,N,VIIRS,n,2,311.21,7.53,D,0,2024
-34.6793,-56.21843,334.83,0.5,0.41,2024-01-30,1753,N,VIIRS,l,2,306.61,2.51,D,0,2024
-33.85503,-58.18632,342.25,0.43,0.38,2024-01-30,1753,N,VIIRS,n,2,309.16,4.62,D,0,2024
-31.44027,-57.86555,344.19,0.47,0.4,2024-01-30,1754,N,VIIRS,n,2,301.5,3.22,D,0,2024
-31.43934,-57.86056,334.21,0.47,0.4,2024-01-30,1754,N,VIIRS,n,2,303.3,3.22,D,0,2024
-33.98797,-57.59701,332.22,0.39,0.36,2024-01-31,1734,N,VIIRS,l,2,303.74,1.62,D,0,2024
-32.86277,-56.53937,312.12,0.39,0.36,2024-02-01,453,N,VIIRS,n,2,296.81,1.99,N,0,2024
-34.2345,-57.54834,312.19,0.39,0.36,2024-02-01,453,N,VIIRS,n,2,293.15,1.05,N,0,2024
-34.47794,-56.85313,345.84,0.54,0.42,2024-02-01,1715,N,VIIRS,n,2,305.48,32.05,D,0,2024
-34.5997,-56.51548,336.76,0.52,0.42,2024-02-01,1715,N,VIIRS,l,2,307.3,4.25,D,0,2024
-34.48188,-56.8525,350.06,0.54,0.42,2024-02-01,1715,N,VIIRS,n,2,306.08,8.73,D,0,2024
-34.48252,-56.85849,346.79,0.54,0.42,2024-02-01,1715,N,VIIRS,n,2,302.69,8.73,D,0,2024
-32.05901,-55.57674,338.1,0.45,0.39,2024-02-01,1716,N,VIIRS,l,2,312.22,28.96,D,0,2024
-30.42023,-57.69479,337.78,0.53,0.42,2024-02-01,1716,N,VIIRS,n,2,311.29,10.88,D,0,2024
-32.05861,-55.57956,341.84,0.45,0.39,2024-02-01,1716,N,VIIRS,n,2,316.34,28.91,D,0,2024
-32.05879,-55.57983,327.48,0.43,0.38,2024-02-02,434,N,VIIRS,n,2,295.52,15.87,N,0,2024
-32.05446,-55.58352,308.11,0.43,0.38,2024-02-02,434,N,VIIRS,n,2,292.43,15.87,N,0,2024
-32.0553,-55.57896,326.27,0.43,0.38,2024-02-02,434,N,VIIRS,n,2,292.62,15.87,N,0,2024
-32.05796,-55.5844,337.61,0.43,0.38,2024-02-02,434,N,VIIRS,n,2,302.09,15.87,N,0,2024
-34.77914,-56.18037,350.21,0.6,0.53,2024-02-02,1656,N,VIIRS,n,2,309.83,10.23,D,0,2024
-34.84379,-56.10588,337.98,0.59,0.53,2024-02-02,1656,N,VIIRS,n,2,307.09,4.49,D,0,2024
-34.81295,-56.02906,332.22,0.59,0.53,2024-02-02,1656,N,VIIRS,n,2,305.07,4.03,D,0,2024
-34.77974,-56.18148,345.87,0.6,0.53,2024-02-02,1656,N,VIIRS,n,2,310.03,6.62,D,0,2024
-32.05918,-55.58657,341.51,0.52,0.5,2024-02-02,1657,N,VIIRS,n,2,313.29,25.42,D,0,2024
