latitude,longitude,FIRMS_date,image_date,date_diff_hours,cloud_pct,thumbnail_file,satellite_image_source,detecion_source,country,firms_sensor
-31.2176,27.42138,2024-10-02T10:55:00,2024-10-02T08:18:54.155000,-2.6,0.579577,point_32616.png,sentinel-2,viirs-snpp_South_Africa,South_Africa,viirs-snpp
-31.21702,27.43621,2024-10-02T10:55:00,2024-10-02T08:18:54.155000,-2.6,0.579577,point_32617.png,sentinel-2,viirs-snpp_South_Africa,South_Africa,viirs-snpp
-31.21796,27.41196,2024-10-02T10:55:00,2024-10-02T08:18:54.155000,-2.6,0.579577,point_32618.png,sentinel-2,viirs-snpp_South_Africa,South_Africa,viirs-snpp
-31.17055,27.3532,2024-10-02T10:55:00,2024-10-02T08:18:54.155000,-2.6,0.579577,point_32623.png,sentinel-2,viirs-snpp_South_Africa,South_Africa,viirs-snpp
-31.35971,27.97694,2024-10-02T10:54:00,2024-10-02T08:18:54.155000,-2.58,0.579577,point_32635.png,sentinel-2,viirs-snpp_South_Africa,South_Africa,viirs-snpp
-31.38061,27.97017,2024-10-02T10:54:00,2024-10-02T08:18:54.155000,-2.58,0.579577,point_32630.png,sentinel-2,viirs-snpp_South_Africa,South_Africa,viirs-snpp
-31.35947,27.98405,2024-10-02T10:54:00,2024-10-02T08:18:54.155000,-2.58,0.579577,point_32633.png,sentinel-2,viirs-snpp_South_Africa,South_Africa,viirs-snpp
-31.17084,27.34493,2024-10-02T10:55:00,2024-10-02T08:18:54.155000,-2.6,0.579577,point_32625.png,sentinel-2,viirs-snpp_South_Africa,South_Africa,viirs-snpp
-31.36,27.98318,2024-10-02T10:54:00,2024-10-02T08:18:54.155000,-2.58,0.579577,point_32649.png,sentinel-2,viirs-snpp_South_Africa,South_Africa,viirs-snpp
-31.36028,27.97621,2024-10-02T10:54:00,2024-10-02T08:18:54.155000,-2.58,0.579577,point_32648.png,sentinel-2,viirs-snpp_South_Africa,South_Africa,viirs-snpp
-31.36055,27.96954,2024-10-02T10:54:00,2024-10-02T08:18:54.155000,-2.58,0.579577,point_32647.png,sentinel-2,viirs-snpp_South_Africa,South_Africa,viirs-snpp
